ID,RA (deg),DEC (deg),cluster redshift,radial velocity(km/s),Comoving Distance(Mpc/h),r_200(Mpc/h),N_200,sigma_200(km/s),lower error in sigma_200(km/s),upper error in sigma_200(km/s),"M_200 cls mass (10^14 M_sun, NFW)","error in M_200 cls mass (10^14 M_sun, NFW)",R_s (Mpc/h),error in r_s (Mpc/h),"M_s (10^14 M_sun, NFW)","error in M_s (10^14 M_sun, NFW)"
553,219.43778,48.590026,0.12274795,34555.468,357.59447,0.79916064,9,499.58422,-187.30592,258.34003,1.33E+14,6.76E+13,0.15,0.076,2.57E+13,1.30E+13
554,232.31523,-0.21850459,0.08696111,24940.664,255.51558,0.80856975,19,452.72057,-84.38329,118.37687,1.33E+14,3.90E+13,0.52,0.152,7.82E+13,2.29E+13
555,144.79584,60.938226,0.12462009,35048.214,362.88449,0.79830608,8,414.98249,-138.85879,216.71333,1.33E+14,5.60E+13,0.2,0.084,3.19E+13,1.34E+13
556,201.48874,6.0876007,0.08414466,24168.075,247.40497,0.8084729,13,416.86982,-178.70095,240.15612,1.33E+14,4.38E+13,0.17,0.056,2.78E+13,9.16E+12
557,344.66318,-9.3840215,0.080246873,23095.01,236.16198,0.80921019,17,478.69697,-132.69115,169.92338,1.33E+14,4.14E+13,0.5,0.156,7.45E+13,2.32E+13
558,156.57081,47.128398,0.062398739,18124.103,184.40745,0.81335647,23,376.63286,-69.129302,85.979863,1.33E+14,1.20E+13,1.06,0.096,1.89E+14,1.71E+13
559,170.04397,55.234807,0.1065452,30248.527,311.6026,0.80165344,12,366.25816,-120.93415,150.13602,1.33E+14,3.86E+13,0.11,0.032,2.07E+13,6.03E+12
560,231.2907,21.609825,0.0826487,23756.764,243.09247,0.80708031,14,453.01995,-97.125794,130.66466,1.32E+14,7.93E+13,0.08,0.048,1.71E+13,1.02E+13
561,214.89421,5.0707466,0.08715254,24993.091,256.06645,0.8054773,19,394.34326,-123.70352,229.93647,1.32E+14,4.52E+13,0.14,0.048,2.41E+13,8.25E+12
562,135.36953,55.643555,0.1151063,32533.686,335.95001,0.79756926,19,627.92583,-152.6518,266.53999,1.32E+14,1.05E+14,0.04,0.032,1.22E+13,9.74E+12
563,135.68682,52.078722,0.09863585,28118.368,289.01628,0.80186455,11,495.30068,-149.96538,206.61391,1.32E+14,3.70E+13,0.27,0.076,4.03E+13,1.13E+13
564,167.85014,39.589499,0.07536338,21744.259,222.04561,0.80738911,28,408.69929,-59.844,88.593433,1.31E+14,3.94E+13,0.44,0.132,6.43E+13,1.93E+13
565,197.32143,-1.5934228,0.082443141,23700.195,242.49965,0.8048807,22,489.13154,-109.96092,180.11755,1.31E+14,5.24E+13,0.12,0.048,2.16E+13,8.64E+12
566,181.61726,32.900292,0.027043545,7997.8627,80.578388,0.81861716,23,582.94932,-133.23537,181.9212,1.31E+14,4.07E+13,0.27,0.084,3.93E+13,1.22E+13
567,183.09026,13.25054,0.064841714,18810.068,191.51772,0.80886562,16,413.4412,-127.36611,217.42438,1.31E+14,5.23E+13,0.06,0.024,1.45E+13,5.80E+12
568,172.29355,0.61398248,0.12646569,35532.983,368.09462,0.79255982,7,371.78887,-220.10992,192.16651,1.31E+14,2.99E+13,0.07,0.016,1.58E+13,3.62E+12
569,321.6387,-6.6644964,0.11596378,32761.396,338.38292,0.79510352,11,406.45227,-170.32323,232.49719,1.31E+14,4.57E+13,0.16,0.056,2.64E+13,9.25E+12
570,212.50018,-1.507238,0.1148703,32470.977,335.28023,0.7953594,13,435.5624,-111.59781,152.44644,1.31E+14,6.36E+13,0.23,0.112,3.51E+13,1.71E+13
571,146.84072,54.473843,0.046406425,13589.818,137.65651,0.81316017,57,501.07763,-75.207387,103.73566,1.30E+14,3.57E+13,0.38,0.104,5.45E+13,1.49E+13
572,166.82358,15.863342,0.09179937,26262.421,269.42235,0.8011537,26,450.40652,-76.912928,110.61775,1.30E+14,3.48E+13,0.18,0.048,2.86E+13,7.64E+12
573,248.12624,9.2841266,0.1375571,38425.646,399.30319,0.78898466,7,430.45049,-167.05123,261.66665,1.30E+14,9.13E+13,0.12,0.084,2.18E+13,1.52E+13
574,173.64796,20.369678,0.03302159,9736.2592,98.255651,0.81614397,16,513.20699,-78.705815,97.289426,1.30E+14,3.86E+13,0.54,0.16,7.89E+13,2.34E+13
575,176.14811,11.252701,0.154861,42868.3,447.64046,0.78333291,9,447.68425,-230.62583,254.788,1.30E+14,6.82E+13,0.16,0.084,2.66E+13,1.40E+13
576,23.73232,-0.65895028,0.08041521,23141.446,236.64798,0.80237927,30,470.97975,-83.358027,158.80496,1.30E+14,4.53E+13,0.08,0.028,1.68E+13,5.87E+12
577,261.10445,56.932288,0.02822014,8340.8575,84.061494,0.81563689,40,469.64935,-65.806968,87.143189,1.29E+14,3.70E+13,0.07,0.02,1.55E+13,4.42E+12
578,135.38477,4.9157784,0.07604132,21932.194,224.00729,0.80318342,8,478.83955,-321.94357,255.17224,1.29E+14,7.06E+13,0.11,0.06,2.02E+13,1.10E+13
579,228.98272,1.9897012,0.1036964,29483.387,303.47765,0.79583213,17,499.6286,-123.068,150.64798,1.29E+14,4.68E+13,0.21,0.076,3.22E+13,1.17E+13
580,208.4237,33.214126,0.04926403,14405.615,146.03633,0.80871284,25,445.59601,-86.441279,130.05438,1.29E+14,4.50E+13,0.08,0.028,1.66E+13,5.81E+12
581,231.98579,3.4038097,0.08392401,24107.449,246.76909,0.79963542,16,479.96914,-128.20424,181.84345,1.29E+14,4.63E+13,0.2,0.072,3.07E+13,1.11E+13
582,195.95675,-3.4134225,0.086102811,24705.469,253.0451,0.79872483,12,428.86243,-127.85229,218.22041,1.28E+14,4.35E+13,0.26,0.088,3.82E+13,1.29E+13
